"beak.size";"Survival"
"1";1.46;0
"2";6.55;0
"3";4.46;0
"4";4.38;0
"5";7.76;0
"6";7.57;0
"7";4.64;0
"8";1.81;0
"9";5.56;0
"10";9.64;0
"11";2.42;0
"12";1.87;0
"13";7.09;0
"14";2.55;0
"15";2.32;0
"16";7.32;0
"17";7.9;0
"18";1.07;0
"19";4.14;0
"20";3.51;0
"21";7.73;0
"22";5.7;0
"23";4.23;0
"24";9.95;0
"25";7.87;0
"26";2.76;0
"27";9.78;0
"28";9.01;0
"29";4.27;0
"30";5.97;0
"31";8.73;0
"32";2.76;0
"33";7.48;0
"34";1.38;0
"35";4.95;0
"36";5.76;0
"37";7.99;0
"38";4.9;0
"39";7.02;0
"40";1.15;0
"41";1.83;0
"42";0.47;0
"43";3.96;0
"44";6.05;0
"45";3.21;0
"46";6.78;0
"47";5.71;0
"48";9.5;0
"49";7.75;1
"50";7.17;1
"51";2.78;1
"52";5.13;1
"53";6.55;1
"54";2.57;1
"55";1.57;1
"56";2.52;1
"57";2.59;1
"58";1.27;1
"59";9.49;1
"60";9.58;1
"61";7.61;1
"62";4.06;1
"63";8.67;1
"64";5.81;1
"65";9.11;1
"66";1.84;1
"67";9.41;1
"68";6.18;1
"69";5.54;1
"70";7.65;1
"71";8.94;1

